VocabularyEN,ExampleSentences,ExampleSentencesCH,Synonym,SynonymCH
indicate,indicate例句测试2,indicate例句测试翻译2,indicate同义词测试2,indicate同义词测试翻译2
indication,indication例句测试1,indication例句测试翻译1,indication同义词测试1,indication同义词测试翻译1
indication,indication例句测试2,indication例句测试翻译2,indication同义词测试2,indication同义词测试翻译2
indicative,indicative例句测试1,indicative例句测试翻译1,indicative同义词测试1,indicative同义词测试翻译1
indicative,indicative例句测试2,indicative例句测试翻译2,indicative同义词测试2,indicative同义词测试翻译2
indices,indices例句测试1,indices例句测试翻译1,indices同义词测试1,indices同义词测试翻译1
indices,indices例句测试2,indices例句测试翻译2,indices同义词测试2,indices同义词测试翻译2
indict,indict例句测试1,indict例句测试翻译1,indict同义词测试1,indict同义词测试翻译1
indict,indict例句测试2,indict例句测试翻译2,indict同义词测试2,indict同义词测试翻译2
indictment,indictment例句测试1,indictment例句测试翻译1,indictment同义词测试1,indictment同义词测试翻译1
indictment,indictment例句测试2,indictment例句测试翻译2,indictment同义词测试2,indictment同义词测试翻译2
indifferent,indifferent例句测试1,indifferent例句测试翻译1,indifferent同义词测试1,indifferent同义词测试翻译1
indifferent,indifferent例句测试2,indifferent例句测试翻译2,indifferent同义词测试2,indifferent同义词测试翻译2
indigence,indigence例句测试1,indigence例句测试翻译1,indigence同义词测试1,indigence同义词测试翻译1
indigence,indigence例句测试2,indigence例句测试翻译2,indigence同义词测试2,indigence同义词测试翻译2
indigenous,indigenous例句测试1,indigenous例句测试翻译1,indigenous同义词测试1,indigenous同义词测试翻译1
indigenous,indigenous例句测试2,indigenous例句测试翻译2,indigenous同义词测试2,indigenous同义词测试翻译2
indigent,indigent例句测试1,indigent例句测试翻译1,indigent同义词测试1,indigent同义词测试翻译1
indigent,indigent例句测试2,indigent例句测试翻译2,indigent同义词测试2,indigent同义词测试翻译2
indignant,indignant例句测试1,indignant例句测试翻译1,indignant同义词测试1,indignant同义词测试翻译1
indignant,indignant例句测试2,indignant例句测试翻译2,indignant同义词测试2,indignant同义词测试翻译2
indignation,indignation例句测试1,indignation例句测试翻译1,indignation同义词测试1,indignation同义词测试翻译1
indignation,indignation例句测试2,indignation例句测试翻译2,indignation同义词测试2,indignation同义词测试翻译2
indignity,indignity例句测试1,indignity例句测试翻译1,indignity同义词测试1,indignity同义词测试翻译1
indignity,indignity例句测试2,indignity例句测试翻译2,indignity同义词测试2,indignity同义词测试翻译2
indirect,indirect例句测试1,indirect例句测试翻译1,indirect同义词测试1,indirect同义词测试翻译1
indirect,indirect例句测试2,indirect例句测试翻译2,indirect同义词测试2,indirect同义词测试翻译2
indispensability,indispensability例句测试1,indispensability例句测试翻译1,indispensability同义词测试1,indispensability同义词测试翻译1
indispensability,indispensability例句测试2,indispensability例句测试翻译2,indispensability同义词测试2,indispensability同义词测试翻译2
indispensable,indispensable例句测试1,indispensable例句测试翻译1,indispensable同义词测试1,indispensable同义词测试翻译1
indispensable,indispensable例句测试2,indispensable例句测试翻译2,indispensable同义词测试2,indispensable同义词测试翻译2
individual,individual例句测试1,individual例句测试翻译1,individual同义词测试1,individual同义词测试翻译1
individual,individual例句测试2,individual例句测试翻译2,individual同义词测试2,individual同义词测试翻译2
indoctrinate,indoctrinate例句测试1,indoctrinate例句测试翻译1,indoctrinate同义词测试1,indoctrinate同义词测试翻译1
indoctrinate,indoctrinate例句测试2,indoctrinate例句测试翻译2,indoctrinate同义词测试2,indoctrinate同义词测试翻译2
indolent,indolent例句测试1,indolent例句测试翻译1,indolent同义词测试1,indolent同义词测试翻译1
indolent,indolent例句测试2,indolent例句测试翻译2,indolent同义词测试2,indolent同义词测试翻译2
indomitable,indomitable例句测试1,indomitable例句测试翻译1,indomitable同义词测试1,indomitable同义词测试翻译1
indomitable,indomitable例句测试2,indomitable例句测试翻译2,indomitable同义词测试2,indomitable同义词测试翻译2
indoor,indoor例句测试1,indoor例句测试翻译1,indoor同义词测试1,indoor同义词测试翻译1
indoor,indoor例句测试2,indoor例句测试翻译2,indoor同义词测试2,indoor同义词测试翻译2
indubitable,indubitable例句测试1,indubitable例句测试翻译1,indubitable同义词测试1,indubitable同义词测试翻译1
indubitable,indubitable例句测试2,indubitable例句测试翻译2,indubitable同义词测试2,indubitable同义词测试翻译2
induce,induce例句测试1,induce例句测试翻译1,induce同义词测试1,induce同义词测试翻译1
induce,induce例句测试2,induce例句测试翻译2,induce同义词测试2,induce同义词测试翻译2
induct,induct例句测试1,induct例句测试翻译1,induct同义词测试1,induct同义词测试翻译1
induct,induct例句测试2,induct例句测试翻译2,induct同义词测试2,induct同义词测试翻译2
induction,induction例句测试1,induction例句测试翻译1,induction同义词测试1,induction同义词测试翻译1
induction,induction例句测试2,induction例句测试翻译2,induction同义词测试2,induction同义词测试翻译2
indulge,indulge例句测试1,indulge例句测试翻译1,indulge同义词测试1,indulge同义词测试翻译1
indulge,indulge例句测试2,indulge例句测试翻译2,indulge同义词测试2,indulge同义词测试翻译2
indurate,indurate例句测试1,indurate例句测试翻译1,indurate同义词测试1,indurate同义词测试翻译1
indurate,indurate例句测试2,indurate例句测试翻译2,indurate同义词测试2,indurate同义词测试翻译2
industrial,industrial例句测试1,industrial例句测试翻译1,industrial同义词测试1,industrial同义词测试翻译1
industrial,industrial例句测试2,industrial例句测试翻译2,industrial同义词测试2,industrial同义词测试翻译2
industrialize,industrialize例句测试1,industrialize例句测试翻译1,industrialize同义词测试1,industrialize同义词测试翻译1
industrialize,industrialize例句测试2,industrialize例句测试翻译2,industrialize同义词测试2,industrialize同义词测试翻译2
industrious,industrious例句测试1,industrious例句测试翻译1,industrious同义词测试1,industrious同义词测试翻译1
industrious,industrious例句测试2,industrious例句测试翻译2,industrious同义词测试2,industrious同义词测试翻译2
ineffable,ineffable例句测试1,ineffable例句测试翻译1,ineffable同义词测试1,ineffable同义词测试翻译1
ineffable,ineffable例句测试2,ineffable例句测试翻译2,ineffable同义词测试2,ineffable同义词测试翻译2
ineffectual,ineffectual例句测试1,ineffectual例句测试翻译1,ineffectual同义词测试1,ineffectual同义词测试翻译1
ineffectual,ineffectual例句测试2,ineffectual例句测试翻译2,ineffectual同义词测试2,ineffectual同义词测试翻译2
inelasticity,inelasticity例句测试1,inelasticity例句测试翻译1,inelasticity同义词测试1,inelasticity同义词测试翻译1
inelasticity,inelasticity例句测试2,inelasticity例句测试翻译2,inelasticity同义词测试2,inelasticity同义词测试翻译2
ineligible,ineligible例句测试1,ineligible例句测试翻译1,ineligible同义词测试1,ineligible同义词测试翻译1
ineligible,ineligible例句测试2,ineligible例句测试翻译2,ineligible同义词测试2,ineligible同义词测试翻译2
ineluctable,ineluctable例句测试1,ineluctable例句测试翻译1,ineluctable同义词测试1,ineluctable同义词测试翻译1
ineluctable,ineluctable例句测试2,ineluctable例句测试翻译2,ineluctable同义词测试2,ineluctable同义词测试翻译2
inept,inept例句测试1,inept例句测试翻译1,inept同义词测试1,inept同义词测试翻译1
inept,inept例句测试2,inept例句测试翻译2,inept同义词测试2,inept同义词测试翻译2
ineptitude,ineptitude例句测试1,ineptitude例句测试翻译1,ineptitude同义词测试1,ineptitude同义词测试翻译1
ineptitude,ineptitude例句测试2,ineptitude例句测试翻译2,ineptitude同义词测试2,ineptitude同义词测试翻译2
inequity,inequity例句测试1,inequity例句测试翻译1,inequity同义词测试1,inequity同义词测试翻译1
inequity,inequity例句测试2,inequity例句测试翻译2,inequity同义词测试2,inequity同义词测试翻译2
inert,inert例句测试1,inert例句测试翻译1,inert同义词测试1,inert同义词测试翻译1
inert,inert例句测试2,inert例句测试翻译2,inert同义词测试2,inert同义词测试翻译2
inertia,inertia例句测试1,inertia例句测试翻译1,inertia同义词测试1,inertia同义词测试翻译1
inertia,inertia例句测试2,inertia例句测试翻译2,inertia同义词测试2,inertia同义词测试翻译2
inevitable,inevitable例句测试1,inevitable例句测试翻译1,inevitable同义词测试1,inevitable同义词测试翻译1
inevitable,inevitable例句测试2,inevitable例句测试翻译2,inevitable同义词测试2,inevitable同义词测试翻译2
inexhaustible,inexhaustible例句测试1,inexhaustible例句测试翻译1,inexhaustible同义词测试1,inexhaustible同义词测试翻译1
inexhaustible,inexhaustible例句测试2,inexhaustible例句测试翻译2,inexhaustible同义词测试2,inexhaustible同义词测试翻译2
inexorable,inexorable例句测试1,inexorable例句测试翻译1,inexorable同义词测试1,inexorable同义词测试翻译1
inexorable,inexorable例句测试2,inexorable例句测试翻译2,inexorable同义词测试2,inexorable同义词测试翻译2
inexplicable,inexplicable例句测试1,inexplicable例句测试翻译1,inexplicable同义词测试1,inexplicable同义词测试翻译1
inexplicable,inexplicable例句测试2,inexplicable例句测试翻译2,inexplicable同义词测试2,inexplicable同义词测试翻译2
infallible,infallible例句测试1,infallible例句测试翻译1,infallible同义词测试1,infallible同义词测试翻译1
infallible,infallible例句测试2,infallible例句测试翻译2,infallible同义词测试2,infallible同义词测试翻译2
infamous,infamous例句测试1,infamous例句测试翻译1,infamous同义词测试1,infamous同义词测试翻译1
infamous,infamous例句测试2,infamous例句测试翻译2,infamous同义词测试2,infamous同义词测试翻译2
infancy,infancy例句测试1,infancy例句测试翻译1,infancy同义词测试1,infancy同义词测试翻译1
infancy,infancy例句测试2,infancy例句测试翻译2,infancy同义词测试2,infancy同义词测试翻译2
infant,infant例句测试1,infant例句测试翻译1,infant同义词测试1,infant同义词测试翻译1
infant,infant例句测试2,infant例句测试翻译2,infant同义词测试2,infant同义词测试翻译2
infantile,infantile例句测试1,infantile例句测试翻译1,infantile同义词测试1,infantile同义词测试翻译1
infantile,infantile例句测试2,infantile例句测试翻译2,infantile同义词测试2,infantile同义词测试翻译2
infantry,infantry例句测试1,infantry例句测试翻译1,infantry同义词测试1,infantry同义词测试翻译1
infantry,infantry例句测试2,infantry例句测试翻译2,infantry同义词测试2,infantry同义词测试翻译2
infatuation,infatuation例句测试1,infatuation例句测试翻译1,infatuation同义词测试1,infatuation同义词测试翻译1
infatuation,infatuation例句测试2,infatuation例句测试翻译2,infatuation同义词测试2,infatuation同义词测试翻译2
infect,infect例句测试1,infect例句测试翻译1,infect同义词测试1,infect同义词测试翻译1
infect,infect例句测试2,infect例句测试翻译2,infect同义词测试2,infect同义词测试翻译2
infection,infection例句测试1,infection例句测试翻译1,infection同义词测试1,infection同义词测试翻译1
infection,infection例句测试2,infection例句测试翻译2,infection同义词测试2,infection同义词测试翻译2
infectious,infectious例句测试1,infectious例句测试翻译1,infectious同义词测试1,infectious同义词测试翻译1
infectious,infectious例句测试2,infectious例句测试翻译2,infectious同义词测试2,infectious同义词测试翻译2
infelicitous,infelicitous例句测试1,infelicitous例句测试翻译1,infelicitous同义词测试1,infelicitous同义词测试翻译1
infelicitous,infelicitous例句测试2,infelicitous例句测试翻译2,infelicitous同义词测试2,infelicitous同义词测试翻译2
infelicity,infelicity例句测试1,infelicity例句测试翻译1,infelicity同义词测试1,infelicity同义词测试翻译1
infelicity,infelicity例句测试2,infelicity例句测试翻译2,infelicity同义词测试2,infelicity同义词测试翻译2
infer,infer例句测试1,infer例句测试翻译1,infer同义词测试1,infer同义词测试翻译1
infer,infer例句测试2,infer例句测试翻译2,infer同义词测试2,infer同义词测试翻译2
inference,inference例句测试1,inference例句测试翻译1,inference同义词测试1,inference同义词测试翻译1
inference,inference例句测试2,inference例句测试翻译2,inference同义词测试2,inference同义词测试翻译2
inferior,inferior例句测试1,inferior例句测试翻译1,inferior同义词测试1,inferior同义词测试翻译1
inferior,inferior例句测试2,inferior例句测试翻译2,inferior同义词测试2,inferior同义词测试翻译2
inferno,inferno例句测试1,inferno例句测试翻译1,inferno同义词测试1,inferno同义词测试翻译1
inferno,inferno例句测试2,inferno例句测试翻译2,inferno同义词测试2,inferno同义词测试翻译2
infest,infest例句测试1,infest例句测试翻译1,infest同义词测试1,infest同义词测试翻译1
infest,infest例句测试2,infest例句测试翻译2,infest同义词测试2,infest同义词测试翻译2
infiltrate,infiltrate例句测试1,infiltrate例句测试翻译1,infiltrate同义词测试1,infiltrate同义词测试翻译1
infiltrate,infiltrate例句测试2,infiltrate例句测试翻译2,infiltrate同义词测试2,infiltrate同义词测试翻译2
infinite,infinite例句测试1,infinite例句测试翻译1,infinite同义词测试1,infinite同义词测试翻译1
infinite,infinite例句测试2,infinite例句测试翻译2,infinite同义词测试2,infinite同义词测试翻译2
infinitesimal,infinitesimal例句测试1,infinitesimal例句测试翻译1,infinitesimal同义词测试1,infinitesimal同义词测试翻译1
infinitesimal,infinitesimal例句测试2,infinitesimal例句测试翻译2,infinitesimal同义词测试2,infinitesimal同义词测试翻译2
infinity,infinity例句测试1,infinity例句测试翻译1,infinity同义词测试1,infinity同义词测试翻译1
infinity,infinity例句测试2,infinity例句测试翻译2,infinity同义词测试2,infinity同义词测试翻译2
infirm,infirm例句测试1,infirm例句测试翻译1,infirm同义词测试1,infirm同义词测试翻译1
infirm,infirm例句测试2,infirm例句测试翻译2,infirm同义词测试2,infirm同义词测试翻译2
inflame,inflame例句测试1,inflame例句测试翻译1,inflame同义词测试1,inflame同义词测试翻译1
inflame,inflame例句测试2,inflame例句测试翻译2,inflame同义词测试2,inflame同义词测试翻译2
inflamed,inflamed例句测试1,inflamed例句测试翻译1,inflamed同义词测试1,inflamed同义词测试翻译1
inflamed,inflamed例句测试2,inflamed例句测试翻译2,inflamed同义词测试2,inflamed同义词测试翻译2
inflammation,inflammation例句测试1,inflammation例句测试翻译1,inflammation同义词测试1,inflammation同义词测试翻译1
inflammation,inflammation例句测试2,inflammation例句测试翻译2,inflammation同义词测试2,inflammation同义词测试翻译2
inflate,inflate例句测试1,inflate例句测试翻译1,inflate同义词测试1,inflate同义词测试翻译1
inflate,inflate例句测试2,inflate例句测试翻译2,inflate同义词测试2,inflate同义词测试翻译2
inflation,inflation例句测试1,inflation例句测试翻译1,inflation同义词测试1,inflation同义词测试翻译1
inflation,inflation例句测试2,inflation例句测试翻译2,inflation同义词测试2,inflation同义词测试翻译2
inflexible,inflexible例句测试1,inflexible例句测试翻译1,inflexible同义词测试1,inflexible同义词测试翻译1
inflexible,inflexible例句测试2,inflexible例句测试翻译2,inflexible同义词测试2,inflexible同义词测试翻译2
inflict,inflict例句测试1,inflict例句测试翻译1,inflict同义词测试1,inflict同义词测试翻译1
inflict,inflict例句测试2,inflict例句测试翻译2,inflict同义词测试2,inflict同义词测试翻译2
influence,influence例句测试1,influence例句测试翻译1,influence同义词测试1,influence同义词测试翻译1
influence,influence例句测试2,influence例句测试翻译2,influence同义词测试2,influence同义词测试翻译2
influential,influential例句测试1,influential例句测试翻译1,influential同义词测试1,influential同义词测试翻译1
influential,influential例句测试2,influential例句测试翻译2,influential同义词测试2,influential同义词测试翻译2
influx,influx例句测试1,influx例句测试翻译1,influx同义词测试1,influx同义词测试翻译1
influx,influx例句测试2,influx例句测试翻译2,influx同义词测试2,influx同义词测试翻译2
inform,inform例句测试1,inform例句测试翻译1,inform同义词测试1,inform同义词测试翻译1
inform,inform例句测试2,inform例句测试翻译2,inform同义词测试2,inform同义词测试翻译2
informal,informal例句测试1,informal例句测试翻译1,informal同义词测试1,informal同义词测试翻译1
informal,informal例句测试2,informal例句测试翻译2,informal同义词测试2,informal同义词测试翻译2
informed,informed例句测试1,informed例句测试翻译1,informed同义词测试1,informed同义词测试翻译1
informed,informed例句测试2,informed例句测试翻译2,informed同义词测试2,informed同义词测试翻译2
infraction,infraction例句测试1,infraction例句测试翻译1,infraction同义词测试1,infraction同义词测试翻译1
infraction,infraction例句测试2,infraction例句测试翻译2,infraction同义词测试2,infraction同义词测试翻译2
infringe,infringe例句测试1,infringe例句测试翻译1,infringe同义词测试1,infringe同义词测试翻译1
infringe,infringe例句测试2,infringe例句测试翻译2,infringe同义词测试2,infringe同义词测试翻译2
infuriate,infuriate例句测试1,infuriate例句测试翻译1,infuriate同义词测试1,infuriate同义词测试翻译1
infuriate,infuriate例句测试2,infuriate例句测试翻译2,infuriate同义词测试2,infuriate同义词测试翻译2
infuse,infuse例句测试1,infuse例句测试翻译1,infuse同义词测试1,infuse同义词测试翻译1
infuse,infuse例句测试2,infuse例句测试翻译2,infuse同义词测试2,infuse同义词测试翻译2
infusion,infusion例句测试1,infusion例句测试翻译1,infusion同义词测试1,infusion同义词测试翻译1
infusion,infusion例句测试2,infusion例句测试翻译2,infusion同义词测试2,infusion同义词测试翻译2
ingenious,ingenious例句测试1,ingenious例句测试翻译1,ingenious同义词测试1,ingenious同义词测试翻译1
ingenious,ingenious例句测试2,ingenious例句测试翻译2,ingenious同义词测试2,ingenious同义词测试翻译2
ingénue,ingénue例句测试1,ingénue例句测试翻译1,ingénue同义词测试1,ingénue同义词测试翻译1
ingénue,ingénue例句测试2,ingénue例句测试翻译2,ingénue同义词测试2,ingénue同义词测试翻译2
ingenuity,ingenuity例句测试1,ingenuity例句测试翻译1,ingenuity同义词测试1,ingenuity同义词测试翻译1
ingenuity,ingenuity例句测试2,ingenuity例句测试翻译2,ingenuity同义词测试2,ingenuity同义词测试翻译2
ingenuous,ingenuous例句测试1,ingenuous例句测试翻译1,ingenuous同义词测试1,ingenuous同义词测试翻译1
ingenuous,ingenuous例句测试2,ingenuous例句测试翻译2,ingenuous同义词测试2,ingenuous同义词测试翻译2
ingest,ingest例句测试1,ingest例句测试翻译1,ingest同义词测试1,ingest同义词测试翻译1
ingest,ingest例句测试2,ingest例句测试翻译2,ingest同义词测试2,ingest同义词测试翻译2
ingestion,ingestion例句测试1,ingestion例句测试翻译1,ingestion同义词测试1,ingestion同义词测试翻译1
ingestion,ingestion例句测试2,ingestion例句测试翻译2,ingestion同义词测试2,ingestion同义词测试翻译2
ingrained,ingrained例句测试1,ingrained例句测试翻译1,ingrained同义词测试1,ingrained同义词测试翻译1
ingrained,ingrained例句测试2,ingrained例句测试翻译2,ingrained同义词测试2,ingrained同义词测试翻译2
ingrate,ingrate例句测试1,ingrate例句测试翻译1,ingrate同义词测试1,ingrate同义词测试翻译1
ingrate,ingrate例句测试2,ingrate例句测试翻译2,ingrate同义词测试2,ingrate同义词测试翻译2
ingratiate,ingratiate例句测试1,ingratiate例句测试翻译1,ingratiate同义词测试1,ingratiate同义词测试翻译1
ingratiate,ingratiate例句测试2,ingratiate例句测试翻译2,ingratiate同义词测试2,ingratiate同义词测试翻译2
ingratiating,ingratiating例句测试1,ingratiating例句测试翻译1,ingratiating同义词测试1,ingratiating同义词测试翻译1
ingratiating,ingratiating例句测试2,ingratiating例句测试翻译2,ingratiating同义词测试2,ingratiating同义词测试翻译2
ingredient,ingredient例句测试1,ingredient例句测试翻译1,ingredient同义词测试1,ingredient同义词测试翻译1
ingredient,ingredient例句测试2,ingredient例句测试翻译2,ingredient同义词测试2,ingredient同义词测试翻译2
inhabit,inhabit例句测试1,inhabit例句测试翻译1,inhabit同义词测试1,inhabit同义词测试翻译1
inhabit,inhabit例句测试2,inhabit例句测试翻译2,inhabit同义词测试2,inhabit同义词测试翻译2
inhabitant,inhabitant例句测试1,inhabitant例句测试翻译1,inhabitant同义词测试1,inhabitant同义词测试翻译1
inhabitant,inhabitant例句测试2,inhabitant例句测试翻译2,inhabitant同义词测试2,inhabitant同义词测试翻译2
inhale,inhale例句测试1,inhale例句测试翻译1,inhale同义词测试1,inhale同义词测试翻译1
inhale,inhale例句测试2,inhale例句测试翻译2,inhale同义词测试2,inhale同义词测试翻译2
inherent,inherent例句测试1,inherent例句测试翻译1,inherent同义词测试1,inherent同义词测试翻译1
inherent,inherent例句测试2,inherent例句测试翻译2,inherent同义词测试2,inherent同义词测试翻译2
inherit,inherit例句测试1,inherit例句测试翻译1,inherit同义词测试1,inherit同义词测试翻译1
inherit,inherit例句测试2,inherit例句测试翻译2,inherit同义词测试2,inherit同义词测试翻译2
inhibit,inhibit例句测试1,inhibit例句测试翻译1,inhibit同义词测试1,inhibit同义词测试翻译1
inhibit,inhibit例句测试2,inhibit例句测试翻译2,inhibit同义词测试2,inhibit同义词测试翻译2
inhibitor,inhibitor例句测试1,inhibitor例句测试翻译1,inhibitor同义词测试1,inhibitor同义词测试翻译1
inhibitor,inhibitor例句测试2,inhibitor例句测试翻译2,inhibitor同义词测试2,inhibitor同义词测试翻译2
inhumane,inhumane例句测试1,inhumane例句测试翻译1,inhumane同义词测试1,inhumane同义词测试翻译1
inhumane,inhumane例句测试2,inhumane例句测试翻译2,inhumane同义词测试2,inhumane同义词测试翻译2
inimical,inimical例句测试1,inimical例句测试翻译1,inimical同义词测试1,inimical同义词测试翻译1
inimical,inimical例句测试2,inimical例句测试翻译2,inimical同义词测试2,inimical同义词测试翻译2
inimitable,inimitable例句测试1,inimitable例句测试翻译1,inimitable同义词测试1,inimitable同义词测试翻译1
inimitable,inimitable例句测试2,inimitable例句测试翻译2,inimitable同义词测试2,inimitable同义词测试翻译2
iniquitous,iniquitous例句测试1,iniquitous例句测试翻译1,iniquitous同义词测试1,iniquitous同义词测试翻译1
iniquitous,iniquitous例句测试2,iniquitous例句测试翻译2,iniquitous同义词测试2,iniquitous同义词测试翻译2
iniquity,iniquity例句测试1,iniquity例句测试翻译1,iniquity同义词测试1,iniquity同义词测试翻译1
iniquity,iniquity例句测试2,iniquity例句测试翻译2,iniquity同义词测试2,iniquity同义词测试翻译2
initial,initial例句测试1,initial例句测试翻译1,initial同义词测试1,initial同义词测试翻译1
initial,initial例句测试2,initial例句测试翻译2,initial同义词测试2,initial同义词测试翻译2
initiate,initiate例句测试1,initiate例句测试翻译1,initiate同义词测试1,initiate同义词测试翻译1
initiate,initiate例句测试2,initiate例句测试翻译2,initiate同义词测试2,initiate同义词测试翻译2
initiative,initiative例句测试1,initiative例句测试翻译1,initiative同义词测试1,initiative同义词测试翻译1
initiative,initiative例句测试2,initiative例句测试翻译2,initiative同义词测试2,initiative同义词测试翻译2
inject,inject例句测试1,inject例句测试翻译1,inject同义词测试1,inject同义词测试翻译1
inject,inject例句测试2,inject例句测试翻译2,inject同义词测试2,inject同义词测试翻译2
injection,injection例句测试1,injection例句测试翻译1,injection同义词测试1,injection同义词测试翻译1
injection,injection例句测试2,injection例句测试翻译2,injection同义词测试2,injection同义词测试翻译2
injunction,injunction例句测试1,injunction例句测试翻译1,injunction同义词测试1,injunction同义词测试翻译1
injunction,injunction例句测试2,injunction例句测试翻译2,injunction同义词测试2,injunction同义词测试翻译2
injure,injure例句测试1,injure例句测试翻译1,injure同义词测试1,injure同义词测试翻译1
injure,injure例句测试2,injure例句测试翻译2,injure同义词测试2,injure同义词测试翻译2
injurious,injurious例句测试1,injurious例句测试翻译1,injurious同义词测试1,injurious同义词测试翻译1
injurious,injurious例句测试2,injurious例句测试翻译2,injurious同义词测试2,injurious同义词测试翻译2
injury,injury例句测试1,injury例句测试翻译1,injury同义词测试1,injury同义词测试翻译1
injury,injury例句测试2,injury例句测试翻译2,injury同义词测试2,injury同义词测试翻译2
inkling,inkling例句测试1,inkling例句测试翻译1,inkling同义词测试1,inkling同义词测试翻译1
inkling,inkling例句测试2,inkling例句测试翻译2,inkling同义词测试2,inkling同义词测试翻译2
inn,inn例句测试1,inn例句测试翻译1,inn同义词测试1,inn同义词测试翻译1
inn,inn例句测试2,inn例句测试翻译2,inn同义词测试2,inn同义词测试翻译2
innate,innate例句测试1,innate例句测试翻译1,innate同义词测试1,innate同义词测试翻译1
innate,innate例句测试2,innate例句测试翻译2,innate同义词测试2,innate同义词测试翻译2
inner,inner例句测试1,inner例句测试翻译1,inner同义词测试1,inner同义词测试翻译1
inner,inner例句测试2,inner例句测试翻译2,inner同义词测试2,inner同义词测试翻译2
innocence,innocence例句测试1,innocence例句测试翻译1,innocence同义词测试1,innocence同义词测试翻译1
innocence,innocence例句测试2,innocence例句测试翻译2,innocence同义词测试2,innocence同义词测试翻译2
innocent,innocent例句测试1,innocent例句测试翻译1,innocent同义词测试1,innocent同义词测试翻译1
innocent,innocent例句测试2,innocent例句测试翻译2,innocent同义词测试2,innocent同义词测试翻译2
innocuous,innocuous例句测试1,innocuous例句测试翻译1,innocuous同义词测试1,innocuous同义词测试翻译1
innocuous,innocuous例句测试2,innocuous例句测试翻译2,innocuous同义词测试2,innocuous同义词测试翻译2
innovation,innovation例句测试1,innovation例句测试翻译1,innovation同义词测试1,innovation同义词测试翻译1
innovation,innovation例句测试2,innovation例句测试翻译2,innovation同义词测试2,innovation同义词测试翻译2
innovative,innovative例句测试1,innovative例句测试翻译1,innovative同义词测试1,innovative同义词测试翻译1
innovative,innovative例句测试2,innovative例句测试翻译2,innovative同义词测试2,innovative同义词测试翻译2
innuendo,innuendo例句测试1,innuendo例句测试翻译1,innuendo同义词测试1,innuendo同义词测试翻译1
innuendo,innuendo例句测试2,innuendo例句测试翻译2,innuendo同义词测试2,innuendo同义词测试翻译2
innumerable,innumerable例句测试1,innumerable例句测试翻译1,innumerable同义词测试1,innumerable同义词测试翻译1
innumerable,innumerable例句测试2,innumerable例句测试翻译2,innumerable同义词测试2,innumerable同义词测试翻译2
inoculate,inoculate例句测试1,inoculate例句测试翻译1,inoculate同义词测试1,inoculate同义词测试翻译1
inoculate,inoculate例句测试2,inoculate例句测试翻译2,inoculate同义词测试2,inoculate同义词测试翻译2
inordinate,inordinate例句测试1,inordinate例句测试翻译1,inordinate同义词测试1,inordinate同义词测试翻译1
inordinate,inordinate例句测试2,inordinate例句测试翻译2,inordinate同义词测试2,inordinate同义词测试翻译2
input,input例句测试1,input例句测试翻译1,input同义词测试1,input同义词测试翻译1
input,input例句测试2,input例句测试翻译2,input同义词测试2,input同义词测试翻译2
inquire,inquire例句测试1,inquire例句测试翻译1,inquire同义词测试1,inquire同义词测试翻译1
inquire,inquire例句测试2,inquire例句测试翻译2,inquire同义词测试2,inquire同义词测试翻译2
inquiry,inquiry例句测试1,inquiry例句测试翻译1,inquiry同义词测试1,inquiry同义词测试翻译1
inquiry,inquiry例句测试2,inquiry例句测试翻译2,inquiry同义词测试2,inquiry同义词测试翻译2
inquisitive,inquisitive例句测试1,inquisitive例句测试翻译1,inquisitive同义词测试1,inquisitive同义词测试翻译1
inquisitive,inquisitive例句测试2,inquisitive例句测试翻译2,inquisitive同义词测试2,inquisitive同义词测试翻译2
inroad,inroad例句测试1,inroad例句测试翻译1,inroad同义词测试1,inroad同义词测试翻译1
inroad,inroad例句测试2,inroad例句测试翻译2,inroad同义词测试2,inroad同义词测试翻译2
insane,insane例句测试1,insane例句测试翻译1,insane同义词测试1,insane同义词测试翻译1
insane,insane例句测试2,insane例句测试翻译2,insane同义词测试2,insane同义词测试翻译2
insanity,insanity例句测试1,insanity例句测试翻译1,insanity同义词测试1,insanity同义词测试翻译1
insanity,insanity例句测试2,insanity例句测试翻译2,insanity同义词测试2,insanity同义词测试翻译2
insatiable,insatiable例句测试1,insatiable例句测试翻译1,insatiable同义词测试1,insatiable同义词测试翻译1
insatiable,insatiable例句测试2,insatiable例句测试翻译2,insatiable同义词测试2,insatiable同义词测试翻译2
inscribe,inscribe例句测试1,inscribe例句测试翻译1,inscribe同义词测试1,inscribe同义词测试翻译1
inscribe,inscribe例句测试2,inscribe例句测试翻译2,inscribe同义词测试2,inscribe同义词测试翻译2
inscrutable,inscrutable例句测试1,inscrutable例句测试翻译1,inscrutable同义词测试1,inscrutable同义词测试翻译1
inscrutable,inscrutable例句测试2,inscrutable例句测试翻译2,inscrutable同义词测试2,inscrutable同义词测试翻译2
insect,insect例句测试1,insect例句测试翻译1,insect同义词测试1,insect同义词测试翻译1
insect,insect例句测试2,insect例句测试翻译2,insect同义词测试2,insect同义词测试翻译2
insecticide,insecticide例句测试1,insecticide例句测试翻译1,insecticide同义词测试1,insecticide同义词测试翻译1
insecticide,insecticide例句测试2,insecticide例句测试翻译2,insecticide同义词测试2,insecticide同义词测试翻译2
